GOLDSCHLAGER , 26101, 0.5, 9.5, 
GRAND MARNIER , 336370, 0.2, 1.3, 
JAGERMEISTER , 31393, 2.9, 5.3, 
KAHLUA , 93165, -0.6, 2.1, 
LICOR 43 , 341848, 0.3, 1.1, 
McCORMICK IRISH , 495036, 0.2, 8.4, 
MIDORI MELON , 284690, 0.1, 1.4, 
RUM CHATA , 70212, 0.4, 8.2, 
RUMPLEMINTZ , 279245, 0.1, 1.6, 
SAMBUCA "BLACK" BLACK, 10869, 0, 0.5, 
SAMBUCA "WHITE" WHITE, 35898, 0, 0.7, 
TAUCA , 38331, 0, 0.6, 
(DISCON)CR DE CACAO WH (DEKUYPER) , 229667, 0, 0.2, 
AMARETTO (DEKUYPER) , 229684, 0.3, 9.5, 
APPLE PUCKER (DEKUYPER) , 14983, 0.5, 7.3, 
BANANA  (DEKUYPER) , 157623, 0, 6.2, 
BLACK BERRY BRANDY (DEKUYPER) , 233547, 0, 1.5, 
BLUE CURACAO (DEKUYPER) , 157604, 1.3, 7.9, 
BUTTERSCOTCH (DEKUYPER) , 32387, 0.5, 4.4, 
COFFEE LIQUEUR (DEKUYPER) , 230935, 0, 0.8, 
CR DE CACAO DK (DEKUYPER) , 157625, 0.1, 1, 
CR DE MENTHE WH (DEKUYPER) , 230522, 0, 2.2, 
MELON (DEKUYPER) , 25172, 0, 1.6, 
PEACHTREE (DEKUYPER) , 25213, 0.2, 6.1, 
PEPPERMINT  (DEKUYPER) , 25222, 0, 1.3, 
PUMPKIN SPICE (BOL'S) , 9177903, 0, 0.2, 
SLOE GIN (DEKUYPER) , 157618, 0, 0.7, 
TRIPLE SEC (DEKUYPER) , 33497, 0, 0, 
TRIPLE SEC (MISTER BOSTON) , 106243, 1.6, 9.5, 
VERMOUTH DRY (CINZANO) , 58239, 0.1, 2.8, 
VERMOUTH SWEET (CINZANO) , 58244, 0, 10.7, 
WATERMELON PUCKER , 49357, 0, 8.1, 
BEST DAM ROOT BEER , 28303, 0, 22, 
BLUE MOON , 1501283, 14, 17, 
BUD , 11036, 93, 95, 
BUD LIGHT , 53036, 77, 258, 
BUD LIGHT LIME , 96323, 8, 51, 
BUD LIGHT PLATINUM , 96118, 15, 15, 
COORS LIGHT , 1508283, 30, 135, 
COORS NA , 1509283, 17, 28, 
CORONA , 95609, 69, 21, 
CORONA LIGHT , 95629, 9, 45, 
FAT TIRE , 3003283, -15, 75, 
GUINESS , 2303281, 0, 17, 
HEINEKEN , 2007283, 11, 46, 
HEINEKEN LIGHT , 2011283, 0, 29, 
MICH LITE , 43276, 19, 10, 
MICH ULTRA , 96770, 101, 0, 
MILLER LITE , 1040283, 47, 172, 
NEWCASTLE , 7491283, 1, 21, 
NOT YOUR FATHERS ROOT BEER , 3156283, 0, 65, 
O'DOULS , 79283, 0, 54, 
STELLA CIDER , 14039, 0, 25, 
WOOD CHUCK PUMPCKIN , 20021, 0, 11, 
YUENGLING , 2502283, 4, 93, 
BUD LITE DRAFT , 53940, 0.5, 1, 
MICH AMBERBOCK , 70970, 0.5, 1, 
MILLER LITE DRAFT , 1040105, 0.5, 0.25, 
QUENCH DRAFT (BUD SELECT) , 37940, 1, 1, 
SHOCK TOP (1/6 BARREL) , 59970, 0.25, 0.75, 
STELLA DRAFT , 441, 0.5, 0.25, 
WOODCHUCK AMBER (1/6 BARREL) , 50970, 0, 0.75, 
YUENGLING DRAFT , 2502105, 0.25, 1, 
CABERNET 1.5L (VENDANGE) , 310939, 1.3, 2.1, 
CHARDONNAY 1.5L ( BEAUJLIEU ) , 68540, 0.6, 3.4, 
MERLOT 1L( CENTURY CELLARS) , 68546, 0.4, 2.3, 
PINIOT NOIR (REX GOLIATH) , 223468, 0, 10.9, 
PINOT GRIGIO (DOMINO) , 256148, -0.7, 8.7, 
PORT (COCK BURNS) , 320776, 0, 0.4, 
SAUVIGNON BLANC (CROSSINGS) , 98124, 0.4, 10.7, 
STERLING RIESLING (VINT COL) , 222614, 0.3, 5.7, 
WH ZIN (BLOSSOM HILL 1.5  L) , 72162, 0.1, 4.4, 
MINERAL WATER , 267803, 44, 125, 
SPARKLING WATER , 55365, 5, 17, 
CHERRYS , 9158747, 0.5, 0.75, 
LEMONS (each) , 510007, 2.25, 1.25, 
LIMES (BOX) , 510008, 3, 0.5, 
OLIVES , 510010, 0.5, 0.75, 
BLOODY MARY (HOME MADE) , 618811, 0, 0.7, 
